item_id,mp1,value
1,0.9132675806,94
2,0.7719944817,82
3,0.2205960423,78
4,0.08801700093,
5,0.1242966591,84
6,0.6312932749,63
7,0.1238262483,83
8,0.08349555037,18
9,0.2348282583,21
10,0.7790228157,
11,0.8989206342,65
12,0.4942497533,89
13,0.3572425881,82
14,0.03434202326,89
15,0.2458754101,31
16,0.9340178622,40
17,0.07651563566,56
18,0.3244706218,66
19,0.2550047754,56
20,0.6570224356,47
21,0.5070750425,32
22,0.6259232553,92
23,0.7449959188,96
24,0.5607371746,98
25,0.6037108073,
26,0.9787913627,80
27,0.2616691151,62
28,0.3191439023,24
29,0.2291433832,14
30,0.9935302026,95
31,0.6027588878,63
32,0.3619645842,18
33,0.7447595781,96
34,0.5994268921,77
35,0.4228238041,
36,0.396798264,67
37,0.4427837996,25
38,0.2184958717,
39,0.6022754527,45
40,0.3087877682,38
41,0.09616035927,76
42,0.6393685718,67
43,0.1006497533,
44,0.5663875287,19
45,0.2666803333,25
46,0.6128140562,78
47,0.9566270363,40
48,0.7119975856,25
49,0.7823941488,
50,0.5938479286,40
51,0.945939312,98
52,0.1226754052,22
53,0.9721090531,100
54,0.114957252,61
55,0.1631869082,99
56,0.9888319336,
57,0.8277783012,81
58,0.9907892659,91
59,0.4547188242,26
60,0.3777635691,44
61,0.2548467757,90
62,0.9267221212,13
63,0.1971140089,17
64,0.3240673572,61
65,0.9661255573,22
66,0.1320560672,11
67,0.3894341369,43
68,0.1204317394,41
69,0.3765256733,49
70,0.2231342276,53
71,0.4073003887,65
72,0.3699904318,
73,0.06398943795,11
74,0.04252175579,89
75,0.05298033973,86
76,0.9053729052,24
77,0.9762148719,43
78,0.0174430379,24
79,0.7280535221,87
80,0.3797794553,50
81,0.583277437,68
82,0.3339966998,
83,0.6538569086,77
84,0.1918546239,61
85,0.6030103446,24
86,0.5132384734,30
87,0.0697947657,61
88,0.4188282386,22
89,0.7590129596,
90,0.9410422728,19
91,0.2507297316,66
92,0.6013379169,96
93,0.2704144202,43
94,0.5257203419,41
95,0.002055139247,
96,0.5485430589,92
97,0.4180275681,47
98,0.9357033605,85
99,0.01468106411,31
